data_source,loaded_libraries,extraction_done,sampling,svm_training,ada_training,rfs_training,svm_testing,ada_testing,rfs_testing
R,NA,0.385206699371338,0.479532957077026,141.639231204987,241.502530813217,14.3418235778809,30.9355716705322,1.30340266227722,0.880626201629639
R,NA,0.390682220458984,0.446125984191895,142.106392860413,252.217591762543,14.523410320282,31.1555287837982,1.32625508308411,0.882209539413452
R,NA,0.429710626602173,0.496216058731079,142.329601764679,245.283909082413,14.7638299465179,31.4838449954987,1.30990862846375,0.894378185272217
R,NA,0.371345281600952,0.489750146865845,143.405268907547,242.776640176773,16.8596160411835,31.6141841411591,1.33415365219116,0.882272005081177
R,NA,0.384160041809082,0.469182252883911,143.701518058777,258.549699306488,15.0546860694885,31.8205695152283,1.39936137199402,0.930057764053345
PostgreSQL,NA,1.37265253067017,0.258499383926392,141.383246660233,271.676373958588,21.4266240596771,30.2764928340912,1.619380235672,0.950400352478027
PostgreSQL,NA,1.39563012123108,0.262077808380127,139.434349298477,263.882855892181,21.3811523914337,30.4894616603851,1.57296657562256,0.953275680541992
PostgreSQL,NA,1.05539536476135,0.265458106994629,140.395637750626,262.364964485168,20.8767657279968,30.2008247375488,1.58535218238831,0.989492893218994
PostgreSQL,NA,1.03092908859253,0.264514923095703,140.666519403458,258.537363290787,20.2321224212646,30.0652911663055,1.57184982299805,0.931915998458862
PostgreSQL,NA,1.08321285247803,0.285011053085327,143.168633699417,259.331812620163,21.0963609218597,30.8440580368042,1.5861873626709,0.939700126647949
MongoDB,NA,8.20823121070862,0.362799882888794,148.815443277359,261.484415769577,21.3676290512085,30.9391152858734,1.53351235389709,0.933562278747559
MongoDB,NA,7.27371311187744,0.362146377563477,151.129766464233,276.638071060181,22.3330001831055,31.4094014167786,1.69077777862549,0.981590270996037
MongoDB,NA,7.26366758346558,0.370019674301147,153.063396692276,265.536780834198,22.0470330715179,30.3145680427551,1.55417609214783,0.935045480728149
MongoDB,NA,7.21961355209351,0.361192226409912,150.600855350494,264.825241088867,21.3507211208344,30.1122689247131,1.53907871246338,0.927092790603638
MongoDB,NA,7.92919540405273,0.388772249221802,145.261965036392,263.799113512039,21.2240283489227,30.053943157196,1.5265429019928,0.928931713104248
